element_id,web_name,first_name,second_name,club,pos,official_draft_rank
578,Mudryk,Mykhailo,Mudryk,CHE,MID,223
579,Charles,Shea,Charles,FUL,MID,392
580,Araujo,Ronald,Araujo,LIV,DEF,222
581,Diomande,Ousmane,Diomande,NFO,DEF,221
582,Madjo,Brian,Madjo,AVL,FWD,225
583,Chavarria,Pep,Chavarría,CHE,DEF,393
584,Hamer,Gustavo,Hamer,COV,MID,224
585,Herrington,Lucas,Herrington,HUL,DEF,617
586,Mendy,Nobel,Mendy,HUL,DEF,613
587,Rulli,Gerónimo,Rulli,MCI,GKP,395
588,Khalaili,Anan,Khalaili,CRY,DEF,398
589,Gourna-Douath,Lucas,Gourna-Douath,HUL,MID,396
590,Benda,Steven,Benda,NFO,GKP,530
591,Enciso,Julio,Enciso,IPS,MID,226
592,Ouattara,Abdoul,Ouattara,IPS,DEF,615
593,David,Promise,David,BHA,FWD,112
594,Gozo,Zavier,Gozo,CRY,MID,397
595,Dedić,Amar,Dedic,NEW,DEF,531
596,Ruggeri,Matteo,Ruggeri,AVL,DEF,535
597,Suzuki,Zion,Suzuki,AVL,GKP,400
598,Cherif,Sidiki,Cherif,COV,FWD,399
599,Elvedi,Nico,Elvedi,LEE,DEF,532
600,Osman,Ibrahim,Osman,BHA,MID,401
601,Humphreys,Cameron,Humphreys,IPS,MID,539
602,Lienou,Jayden,Lienou,LEE,DEF,616
603,Cresswell,Alfie,Cresswell,LEE,MID,537
604,Williams-Barnett,Luca,Williams-Barnett,TOT,MID,536
605,Rowe,Triston,Rowe,AVL,DEF,618
606,Lynch,Luka,Lynch,AVL,MID,540
607,Jebbison,Daniel,Jebbison,BOU,FWD,402
608,Yalcouyé,Malick,Yalcouyé,BHA,MID,538
609,Shahar,Leo,Shahar,NEW,DEF,614
610,De Fougerolles,Luc,De Fougerolles,FUL,DEF,619
611,Wan-Bissaka,Aaron,Wan-Bissaka,AVL,DEF,542
612,Methalie,Dayann,Méthalie,SUN,DEF,541
613,Hadjam,Jaouen,Hadjam,BHA,DEF,544
614,Ahoka,Jules,Ahoka,SUN,MID,543
615,Di Gregorio,Michele,Di Gregorio,BOU,GKP,545
616,Bouaddi,Ayyoub,Bouaddi,MCI,MID,193
617,Goretzka,Leon,Goretzka,AVL,MID,86
618,Cho,Mohamed-Ali,Cho,HUL,MID,266
619,Palacios,Exequiel,Palacios,IPS,MID,265
620,Diouf,El Hadji Malick,Diouf,BRE,DEF,546
