element_id,web_name,first_name,second_name,club,pos,official_draft_rank
319,Szmodics,Sam,Szmodics,IPS,MID,367
320,Akpom,Chuba,Akpom,IPS,FWD,368
321,Walle Egeli,Sindre,Walle Egeli,IPS,FWD,513
322,Al-Hamadi,Ali,Al-Hamadi,IPS,FWD,369
323,McAteer,Kasey,McAteer,IPS,MID,514
324,Mehmeti,Anis,Mehmeti,IPS,MID,370
325,Darlow,Karl,Darlow,MUN,GKP,427
326,Perri,Lucas Estella,Perri,LEE,GKP,440
327,Bijol,Jaka,Bijol,LEE,DEF,248
328,Struijk,Pascal,Struijk,BHA,DEF,245
329,Rodon,Joe,Rodon,LEE,DEF,412
330,Bogle,Jayden,Bogle,LEE,DEF,417
331,Gudmundsson,Gabriel,Gudmundsson,LEE,DEF,428
332,Justin,James,Justin,LEE,DEF,420
333,Bornauw,Sebastiaan,Bornauw,LEE,DEF,451
334,Muharemović,Tarik,Muharemović,LEE,DEF,371
335,Stach,Anton,Stach,LEE,MID,68
336,Okafor,Noah,Okafor,LEE,MID,78
337,Aaronson,Brenden,Aaronson,LEE,MID,122
338,Ampadu,Ethan,Ampadu,LEE,MID,119
339,Longstaff,Sean,Longstaff,LEE,MID,284
340,Gelhardt,Joe,Gelhardt,HUL,MID,372
341,Gnonto,Wilfried,Gnonto,LEE,MID,307
342,Harrison,Jack,Harrison,LEE,MID,321
343,James,Daniel,James,LEE,MID,309
344,Gruev,Ilia,Gruev,LEE,MID,285
345,Tanaka,Tanaka,Ao,LEE,MID,274
346,Calvert-Lewin,Dominic,Calvert-Lewin,LEE,FWD,65
347,Nmecha,Lukas,Nmecha,LEE,FWD,157
348,Piroe,Joël,Piroe,LEE,FWD,313
349,Mateo Joseph,Mateo,Joseph Fernández-Regatillo,LEE,FWD,515
350,A.Becker,Alisson,Becker,LIV,GKP,141
351,Mamardashvili,Giorgi,Mamardashvili,LIV,GKP,304
352,Woodman,Freddie,Woodman,LIV,GKP,551
353,Pecsi,Armin,Pecsi,LIV,GKP,599
354,Jaros,Vitezslav,Jaros,LIV,GKP,600
355,Davies,Harvey,Davies,LIV,GKP,601
356,Virgil,Virgil,van Dijk,LIV,DEF,32
357,Frimpong,Jeremie,Frimpong,LIV,DEF,164
358,Kerkez,Milos,Kerkez,LIV,DEF,146
359,Gomez,Joe,Gomez,LIV,DEF,306
360,Bradley,Conor,Bradley,LIV,DEF,295
361,Lucky,Wellity,Lucky,LIV,DEF,602
362,Jacquet,Jeremy,Jacquet,LIV,DEF,373
363,Leoni,Giovanni,Leoni,LIV,DEF,603
364,Tsimikas,Kostas,Tsimikas,LIV,DEF,374
365,Ramsay,Calvin,Ramsay,LIV,DEF,604
366,Wirtz,Florian,Wirtz,LIV,MID,18
367,Gakpo,Cody,Gakpo,LIV,MID,26
368,Szoboszlai,Dominik,Szoboszlai,LIV,MID,23
369,Ngumoha,Rio,Ngumoha,LIV,MID,100
370,Chiesa,Federico,Chiesa,LIV,MID,181
371,Gravenberch,Ryan,Gravenberch,LIV,MID,64
372,Mac Allister,Alexis,Mac Allister,LIV,MID,134
373,C.Jones,Curtis,Jones,LIV,MID,150
374,Endo,Endo,Wataru,LIV,MID,322
375,Nyoni,Trey,Nyoni,LIV,MID,328
376,Bajcetic,Stefan,Bajčetić Maquieira,LIV,MID,375
377,Munoz,Victor,Munoz,LIV,MID,53
378,McConnell,James,McConnell,LIV,MID,516
379,Isak,Alexander,Isak,LIV,FWD,5
380,Ekitiké,Hugo,Ekitiké,LIV,FWD,19
381,Koumas,Lewis,Koumas,LIV,MID,376
382,Danns,Jayden,Danns,LIV,FWD,517
383,Elliott,Harvey,Elliott,LIV,MID,202
384,Donnarumma,Gianluigi,Donnarumma,MCI,GKP,118
385,Trafford,James,Trafford,LEE,GKP,318
386,Bettinelli,Marcus,Bettinelli,MCI,GKP,518
387,O'Reilly,Nico,O'Reilly,MCI,DEF,34
388,Guéhi,Marc,Guéhi,MCI,DEF,56
389,Matheus N.,Matheus,Nunes,MCI,DEF,62
390,Rúben,Rúben,dos Santos Gato Alves Dias,MCI,DEF,129
391,Gvardiol,Joško,Gvardiol,MCI,DEF,153
392,Aït-Nouri,Rayan,Aït-Nouri,MCI,DEF,166
393,Khusanov,Abdukodir,Khusanov,MCI,DEF,161
394,Alleyne,Max,Alleyne,MCI,DEF,330
395,Lewis,Rico,Lewis,MCI,DEF,456
396,Vitor Reis,Vitor,de Oliveira Nunes dos Reis,MCI,DEF,519
397,Semenyo,Antoine,Semenyo,MCI,MID,6
398,Foden,Phil,Foden,MCI,MID,27
399,Cherki,Rayan,Cherki,MCI,MID,16
400,Doku,Jérémy,Doku,MCI,MID,20
401,Marmoush,Omar,Marmoush,TOT,FWD,29
402,Rodrigo,Rodrigo 'Rodri',Hernandez Cascante,MCI,MID,46
403,Sávio,Sávio,Moreira de Oliveira,TOT,MID,50
404,Reijnders,Tijjani,Reijnders,MCI,MID,83
405,N.Gonzalez,Nico,González Iglesias,NEW,MID,165
406,Kovačić,Mateo,Kovačić,MCI,MID,199
407,Echeverri,Claudio,Echeverri,MCI,MID,377
408,Phillips,Kalvin,Phillips,MCI,MID,378
409,Mukasa,Divine,Mukasa,MCI,MID,476
410,Monga,Jeremy,Monga,MCI,MID,379
411,Haaland,Erling,Haaland,MCI,FWD,1
412,Lammens,Senne,Lammens,MUN,GKP,244
413,Bayindir,Altay,Bayındır,MUN,GKP,462
414,Heaton,Tom,Heaton,MUN,GKP,605
415,Dorgu,Patrick,Dorgu,MUN,MID,82
416,De Ligt,Matthijs,de Ligt,MUN,DEF,294
417,Dalot,Diogo,Dalot Teixeira,MUN,DEF,243
418,Maguire,Harry,Maguire,MUN,DEF,256
419,Martinez,Lisandro,Martínez,MUN,DEF,288
420,Yoro,Leny,Yoro,MUN,DEF,286
421,Heaven,Ayden,Heaven,MUN,DEF,441
422,Mazraoui,Noussair,Mazraoui,MUN,DEF,436
423,Shaw,Luke,Shaw,MUN,DEF,410
424,Amass,Harry,Amass,MUN,DEF,608
425,Fredricson,Tyler,Fredricson,MUN,DEF,557
426,B.Fernandes,Bruno,Borges Fernandes,MUN,MID,2
427,Mbeumo,Bryan,Mbeumo,MUN,MID,11
428,Cunha,Matheus,Santos Carneiro da Cunha,MUN,MID,12
429,Rashford,Marcus,Rashford,MUN,MID,30
430,Mount,Mason,Mount,MUN,MID,167
431,Amad,Amad,Diallo,MUN,MID,87
432,Mainoo,Kobbie,Mainoo,MUN,MID,158
433,Ugarte,Manuel,Ugarte Ribeiro,MUN,MID,299
434,J.Fletcher,Jack,Fletcher,MUN,MID,334
435,Lacey,Shea,Lacey,MUN,MID,335
436,Collyer,Toby,Collyer,MUN,MID,380
437,Bendito Mantato,Bendito,Mantato,MUN,MID,486
438,Fletcher,Tyler,Fletcher,MUN,MID,477
439,Šeško,Benjamin,Sesko,MUN,FWD,28
440,Zirkzee,Joshua,Zirkzee,MUN,FWD,179
441,Obi,Chido,Obi,MUN,FWD,521
442,Pope,Nick,Pope,NEW,GKP,251
443,Gillespie,Mark,Gillespie,NEW,GKP,523
444,Jaouen,Ewen,Jaouen,NEW,GKP,526
445,Thiaw,Malick,Thiaw,NEW,DEF,234
446,Schär,Fabian,Schär,NEW,DEF,289
447,Botman,Sven,Botman,NEW,DEF,257
448,Burn,Dan,Burn,NEW,DEF,253
449,Hall,Lewis,Hall,NEW,DEF,260
450,Livramento,Tino,Livramento,NEW,DEF,281
451,A.Murphy,Alex,Murphy,NEW,DEF,556
452,Bruno G.,Bruno,Guimarães Rodriguez Moura,ARS,MID,25
453,Barnes,Harvey,Barnes,NEW,MID,80
454,Elanga,Anthony,Elanga,NEW,MID,99
455,Tonali,Sandro,Tonali,TOT,MID,151
456,J.Ramsey,Jacob,Ramsey,NEW,MID,277
457,J.Murphy,Jacob,Murphy,NEW,MID,89
458,Joelinton,Joelinton Cássio,Apolinário de Lira,NEW,MID,159
459,L.Miley,Lewis,Miley,NEW,MID,160
460,Willock,Joe,Willock,NEW,MID,300
461,Touré,Bazoumana,Touré,NEW,MID,110
462,Steur,Sean,Steur,NEW,MID,384
463,Woltemade,Nick,Woltemade,NEW,FWD,79
464,Wissa,Yoane,Wissa,NEW,FWD,104
